FIPS,State,County,POP_2009,Per_Cap_2009,Personal_income_2009
47131, TN,Obion,31791,33104,1052419
47133, TN,Overton,21988,24849,546387
47135, TN,Perry,7851,23939,187945
47137, TN,Pickett,5101,25932,132277
47139, TN,Polk,16730,26082,436357
47141, TN,Putnam,71579,30641,2193246
47143, TN,Rhea,31717,27390,868731
47145, TN,Roane,54367,31408,1707540
47147, TN,Robertson,65791,31580,2077701
47149, TN,Rutherford,259078,30627,7934658
47151, TN,Scott,22195,23477,521072
47153, TN,Sequatchie,14137,27541,389349
47155, TN,Sevier,89096,29411,2620374
47157, TN,Shelby,922541,38450,35471764
47159, TN,Smith,19219,29131,559864
47161, TN,Stewart,13253,34938,463035
47163, TN,Sullivan,156661,33840,5301386
47165, TN,Sumner,158819,34980,5555530
47167, TN,Tipton,60866,29787,1813033
47169, TN,Trousdale,7881,27869,219632
47171, TN,Unicoi,18367,29296,538082
47173, TN,Union,19225,23415,450162
47175, TN,Van Buren,5540,21623,119789
47177, TN,Warren,39709,26541,1053900
47179, TN,Washington,121692,33221,4042779
47181, TN,Wayne,17048,22978,391726
47183, TN,Weakley,34732,28768,999163
47185, TN,White,25789,25914,668300
47187, TN,Williamson,180332,59696,10765108
47189, TN,Wilson,112350,35939,4037696
48001, TX,Anderson,58410,25130,1467844
48003, TX,Andrews,14601,34432,502744
48005, TX,Angelina,86029,30665,2638037
48007, TX,Aransas,23291,35112,817784
48009, TX,Archer,9023,36819,332218
48011, TX,Armstrong,1911,36915,70544
48013, TX,Atascosa,44623,26781,1195037
48015, TX,Austin,28254,39116,1105172
48017, TX,Bailey,7050,27100,191057
48019, TX,Bandera,20365,33660,685489
48021, TX,Bastrop,73587,27747,2041786
48023, TX,Baylor,3726,32283,120285
48025, TX,Bee,31864,22188,706999
48027, TX,Bell,301050,39517,11896639
48029, TX,Bexar,1685628,34116,57507163
48031, TX,Blanco,10315,48155,496723
48033, TX,Borden,618,36942,22830
48035, TX,Bosque,18004,31490,566952
48037, TX,Bowie,92231,32968,3040696
48039, TX,Brazoria,309236,36060,11150897
48041, TX,Brazos,191434,28198,5398148
48043, TX,Brewster,9054,34856,315583
48045, TX,Briscoe,1634,30991,50639
48047, TX,Brooks,7297,25706,187580
48049, TX,Brown,38001,27737,1054018
48051, TX,Burleson,17076,31932,545266
48053, TX,Burnet,42611,35055,1493710
48055, TX,Caldwell,37829,24960,944221
48057, TX,Calhoun,21388,28396,607330
48059, TX,Callahan,13548,27954,378721
48061, TX,Cameron,400303,22173,8875738
48063, TX,Camp,12364,32107,396967
48065, TX,Carson,6220,33515,208464
48067, TX,Cass,30297,27853,843850
48069, TX,Castro,7856,29672,233107
48071, TX,Chambers,34230,36783,1259066
48073, TX,Cherokee,50447,26617,1342739
48075, TX,Childress,7030,24405,171570
48077, TX,Clay,10832,33770,365801
48079, TX,Cochran,3086,29847,92108
48081, TX,Coke,3310,27196,90020
48083, TX,Coleman,8867,28421,252007
48085, TX,Collin,765791,47349,36259505
48087, TX,Collingsworth,3042,28494,86679
48089, TX,Colorado,20784,36398,756506
48091, TX,Comal,106350,43086,4582214
48093, TX,Comanche,13912,27732,385801
48095, TX,Concho,4076,18792,76598
48097, TX,Cooke,38413,35385,1359241
48099, TX,Coryell,74673,28372,2118606
48101, TX,Cottle,1509,43838,66152
48103, TX,Crane,4333,30453,131952
48105, TX,Crockett,3740,28322,105923
48107, TX,Crosby,6057,31276,189441
48109, TX,Culberson,2384,26223,62515
48111, TX,Dallam,6571,43987,289040
48113, TX,Dallas,2346378,39078,91690756
48115, TX,Dawson,13741,26116,358864
48117, TX,Deaf Smith,19084,25352,483824
48119, TX,Delta,5180,27844,144232
48121, TX,Denton,649702,40741,26469277
48123, TX,DeWitt,20048,29412,589645
48125, TX,Dickens,2423,24792,60070
48127, TX,Dimmit,9848,23464,231070
48129, TX,Donley,3670,28683,105267
48131, TX,Duval,11917,26625,317291
48133, TX,Eastland,18497,29767,550591
48135, TX,Ector,136930,32985,4516625
48137, TX,Edwards,2012,30795,61959
48139, TX,Ellis,147392,32611,4806541
48141, TX,El Paso,786759,26493,20843555
48143, TX,Erath,37594,25731,967341
48145, TX,Falls,17762,24921,442638
48147, TX,Fannin,33865,26881,910313
48149, TX,Fayette,24470,36083,882956
48151, TX,Fisher,4014,32700,131258
48153, TX,Floyd,6508,32484,211409
48155, TX,Foard,1321,32376,42769
48157, TX,Fort Bend,569130,45898,26122012
48159, TX,Franklin,10601,30009,318129
48161, TX,Freestone,19743,26456,522312
48163, TX,Frio,17120,21356,365609
48165, TX,Gaines,17163,28476,488733
48167, TX,Galveston,287428,39982,11492089
48169, TX,Garza,6368,26785,170569
48171, TX,Gillespie,24608,42614,1048655
48173, TX,Glasscock,1224,37727,46178
48175, TX,Goliad,7157,29228,209185
48177, TX,Gonzales,19628,28501,559420
48179, TX,Gray,22719,36101,820174
48181, TX,Grayson,120069,31709,3807313
48183, TX,Gregg,121238,41704,5056095
48185, TX,Grimes,26422,28230,745882
48187, TX,Guadalupe,128265,33543,4302434
48189, TX,Hale,35926,27512,988381
48191, TX,Hall,3343,32498,108640
48193, TX,Hamilton,8527,39541,337165
48195, TX,Hansford,5556,39468,219282
48197, TX,Hardeman,4086,30662,125284
48199, TX,Hardin,54228,34204,1854792
48201, TX,Harris,4034866,44090,177898662
48203, TX,Harrison,65185,32508,2119047
48205, TX,Hartley,5970,28071,167586
48207, TX,Haskell,5862,28599,167647
48209, TX,Hays,153619,32113,4933230
48211, TX,Hemphill,3802,45385,172554
48213, TX,Henderson,78231,29318,2293582
48215, TX,Hidalgo,757468,21171,16036289
48217, TX,Hill,35005,29104,1018780
48219, TX,Hockley,23086,30801,711074
48221, TX,Hood,50841,37465,1904772
48223, TX,Hopkins,34919,29496,1029975
48225, TX,Houston,23660,26341,623234
48227, TX,Howard,34882,27302,952355
48229, TX,Hudspeth,3423,19232,65830
48231, TX,Hunt,85261,29377,2504682
48233, TX,Hutchinson,22184,33737,748412
48235, TX,Irion,1587,43425,68916
48237, TX,Jack,9057,29054,263139
48239, TX,Jackson,14089,30933,435817
48241, TX,Jasper,35331,29851,1054650
48243, TX,Jeff Davis,2326,29580,68802
48245, TX,Jefferson,251332,33606,8446339
48247, TX,Jim Hogg,5260,23919,125814
48249, TX,Jim Wells,40633,30750,1249480
48251, TX,Johnson,150583,31522,4746660
48253, TX,Jones,20093,24112,484480
48255, TX,Karnes,14805,23371,346014
48257, TX,Kaufman,101709,32311,3286313
48259, TX,Kendall,32655,58252,1902210
48261, TX,Kenedy,403,26628,10731
48263, TX,Kent,793,31158,24708
48265, TX,Kerr,49427,37235,1840412
48267, TX,Kimble,4623,32310,149370
48269, TX,King,279,55072,15365
48271, TX,Kinney,3568,26484,94495
48273, TX,Kleberg,31876,27652,881450
48275, TX,Knox,3647,29757,108523
48277, TX,Lamar,49600,31297,1552343
48279, TX,Lamb,13791,26785,369389
48281, TX,Lampasas,19652,42002,825426
48283, TX,La Salle,6771,21638,146514
48285, TX,Lavaca,19226,34004,653765
48287, TX,Lee,16565,32919,545305
48289, TX,Leon,16862,30208,509365
48291, TX,Liberty,75041,27687,2077639
48293, TX,Limestone,23173,27792,644013
48295, TX,Lipscomb,3326,37204,123739
48297, TX,Live Oak,11410,27842,317677
48299, TX,Llano,19175,30446,583793
48301, TX,Loving,77,28208,2172
48303, TX,Lubbock,274252,32148,8816518
48305, TX,Lynn,5927,31235,185127
48307, TX,McCulloch,8365,27287,228253
48309, TX,McLennan,231679,30545,7076623
48311, TX,McMullen,699,43023,30073
48313, TX,Madison,13483,22806,307495
48315, TX,Marion,10669,25991,277301
48317, TX,Martin,4710,34369,161879
48319, TX,Mason,3982,29275,116574
48321, TX,Matagorda,36579,30794,1126418
48323, TX,Maverick,53434,21907,1170560
48325, TX,Medina,45605,28371,1293871
48327, TX,Menard,2227,26339,58657
48329, TX,Midland,136238,60260,8209767
48331, TX,Milam,24864,28319,704112
48333, TX,Mills,4877,27836,135757
48335, TX,Mitchell,9399,23324,219222
48337, TX,Montague,19768,33058,653488
48339, TX,Montgomery,445836,47104,21000453
48341, TX,Moore,21575,27094,584561
48343, TX,Morris,12954,36327,470582
48345, TX,Motley,1200,28266,33919
48347, TX,Nacogdoches,64012,28861,1847470
48349, TX,Navarro,47584,28835,1372090
48351, TX,Newton,14446,22394,323503
48353, TX,Nolan,15128,29629,448227
48355, TX,Nueces,338220,33940,11479269
48357, TX,Ochiltree,10225,32956,336973
48359, TX,Oldham,2040,37204,75897
48361, TX,Orange,81586,32849,2680039
48363, TX,Palo Pinto,28071,30384,852922
48365, TX,Panola,23678,32407,767323
48367, TX,Parker,115802,39309,4552052
48369, TX,Parmer,10082,26443,266594
48371, TX,Pecos,15490,26150,405065
48373, TX,Polk,45537,31751,1445823
48375, TX,Potter,120118,31587,3794142
48377, TX,Presidio,7593,23630,179421
48379, TX,Rains,10956,27447,300711
48381, TX,Randall,119084,37902,4513544
48383, TX,Reagan,3377,35254,119052
48385, TX,Real,3274,23408,76637
48387, TX,Red River,12835,28700,368368
48389, TX,Reeves,13550,21093,285808
48391, TX,Refugio,7410,32201,238612
48393, TX,Roberts,929,31287,29066
48395, TX,Robertson,16604,31395,521289
48397, TX,Rockwall,76654,44124,3382282
48399, TX,Runnels,10392,29880,310518
48401, TX,Rusk,52799,29153,1539275
48403, TX,Sabine,10721,29097,311947
48405, TX,San Augustine,8938,26051,232841
48407, TX,San Jacinto,26086,25948,676883
48409, TX,San Patricio,65751,31847,2094000
48411, TX,San Saba,6026,25086,151168
48413, TX,Schleicher,3311,31521,104365
48415, TX,Scurry,16806,33767,567495
48417, TX,Shackelford,3362,52659,177039
48419, TX,Shelby,25520,29052,741407
48421, TX,Sherman,3018,34562,104308
48423, TX,Smith,207111,38296,7931444
48425, TX,Somervell,8415,33980,285939
48427, TX,Starr,60384,20096,1213471
48429, TX,Stephens,9675,38587,373327
48431, TX,Sterling,1160,36277,42081
48433, TX,Stonewall,1433,32631,46760
48435, TX,Sutton,4272,40144,171495
48437, TX,Swisher,7680,28165,216305
48439, TX,Tarrant,1784078,38893,69387641
48441, TX,Taylor,130247,34876,4542558
48443, TX,Terrell,930,39697,36918
48445, TX,Terry,12550,30103,377787
48447, TX,Throckmorton,1654,37397,61854
48449, TX,Titus,31749,25993,825241
48451, TX,Tom Green,108879,35153,3827452
48453, TX,Travis,1006503,42529,42805346
48455, TX,Trinity,14472,27169,393192
48457, TX,Tyler,21737,25442,553024
48459, TX,Upshur,39084,28942,1131175
48461, TX,Upton,3327,36552,121609
48463, TX,Uvalde,26223,27544,722281
48465, TX,Val Verde,48463,28188,1366054
48467, TX,Van Zandt,52359,29245,1531254
48469, TX,Victoria,86635,34726,3008486
48471, TX,Walker,66748,21384,1427322
48473, TX,Waller,42087,31823,1339334
48475, TX,Ward,10734,31873,342124
48477, TX,Washington,33459,41056,1373677
48479, TX,Webb,245908,24221,5956124
48481, TX,Wharton,40998,32908,1349155
48483, TX,Wheeler,5375,34527,185582
48485, TX,Wichita,130913,35828,4690322
48487, TX,Wilbarger,13575,33301,452058
48489, TX,Willacy,21862,19434,424871
48491, TX,Williamson,410800,36299,14911613
48493, TX,Wilson,42181,32316,1363133
48495, TX,Winkler,7128,29585,210883
48497, TX,Wise,59134,32476,1920450
48499, TX,Wood,41870,28310,1185324
48501, TX,Yoakum,7908,34856,275642
48503, TX,Young,18466,37553,693447
48505, TX,Zapata,13876,22425,311167
48507, TX,Zavala,11544,19525,225400
49001, UT,Beaver,6552,27599,180827
49003, UT,Box Elder,49372,27852,1375115
49005, UT,Cache,110291,27239,3004173
49007, UT,Carbon,21143,29883,631814
49009, UT,Daggett,1037,32014,33199
49011, UT,Davis,301965,32917,9939737
49013, UT,Duchesne,18536,29693,550381
49015, UT,Emery,10896,27240,296810
49017, UT,Garfield,5068,26310,133338
49019, UT,Grand,9034,33872,306002
49021, UT,Iron,45693,21920,1001610
49023, UT,Juab,10209,23823,243209
49025, UT,Kane,7001,29503,206553
49027, UT,Millard,12343,24693,304781
49029, UT,Morgan,9318,35830,333863
49031, UT,Piute,1528,21335,32600
49033, UT,Rich,2253,25880,58308
49035, UT,Salt Lake,1016795,35851,36453439
49037, UT,San Juan,14514,20494,297453
49039, UT,Sanpete,27511,21001,577760
49041, UT,Sevier,20694,25075,518898
49043, UT,Summit,35838,67139,2406120
49045, UT,Tooele,57218,28188,1612869
49047, UT,Uintah,32931,30165,993352
49049, UT,Utah,504801,26217,13234477
49051, UT,Wasatch,22886,31913,730366
49053, UT,Washington,137088,25081,3438244
49055, UT,Wayne,2788,25164,70158
49057, UT,Weber,228118,31322,7145110
50001, VT,Addison,36847,37532,1382943
50003, VT,Bennington,37151,39500,1467462
50005, VT,Caledonia,31213,31968,997821
50007, VT,Chittenden,155793,45300,7057415
50009, VT,Essex,6331,29164,184636
50011, VT,Franklin,47620,34372,1636809
50013, VT,Grand Isle,7022,44475,312301
50015, VT,Lamoille,24193,41145,995414
50017, VT,Orange,28965,36487,1056832
50019, VT,Orleans,27234,32541,886222
50021, VT,Rutland,61946,39681,2458105
50023, VT,Washington,59353,42838,2542585
50025, VT,Windham,44441,38642,1717289
50027, VT,Windsor,56708,42937,2434861
51001, VA,Accomack,33415,32764,1094804
51007, VA,Amelia,12594,33023,415896
51009, VA,Amherst,32447,29731,964672
51011, VA,Appomattox,14812,31093,460553
51013, VA,Arlington,202637,74912,15179874
51017, VA,Bath,4743,36106,171252
51019, VA*,Bedford,74573,36150,2695812
51021, VA,Bland,6868,27584,189444
51023, VA,Botetourt,33042,39297,1298444
51025, VA,Brunswick,17507,26866,470348
51027, VA,Buchanan,24234,29244,708692
51029, VA,Buckingham,17148,23312,399747
51033, VA,Caroline,28263,34186,966211
51036, VA,Charles City,7216,34685,250286
51037, VA,Charlotte,12588,26726,336423
51041, VA,Chesterfield,313096,42185,13207921
51043, VA,Clarke,14015,49747,697198
51045, VA,Craig,5120,28735,147125
51047, VA,Culpeper,46236,35998,1664413
51049, VA,Cumberland,10013,27227,272625
51051, VA,Dickenson,15925,26738,425803
51057, VA,Essex,11104,33622,373343
51061, VA,Fauquier,64907,53292,3459006
51063, VA,Floyd,15150,29255,443217
51065, VA,Fluvanna,25576,34089,871861
51067, VA,Franklin,55732,31275,1743005
51071, VA,Giles,17264,30313,523330
51073, VA,Gloucester,36778,40239,1479918
51075, VA,Goochland,21604,66986,1447170
51077, VA,Grayson,15696,26161,410629
51079, VA,Greene,18237,32781,597830
51083, VA,Halifax,36293,28549,1036117
51085, VA,Hanover,99651,43809,4365589
51087, VA,Henrico,304763,45246,13789201
51091, VA,Highland,2363,32532,76873
51093, VA,Isle of Wight,35270,44537,1570814
51097, VA,King and Queen,6893,33268,229318
51099, VA,King George,23335,43495,1014947
51101, VA,King William,15768,37380,589404
51103, VA,Lancaster,11403,43769,499100
51105, VA,Lee,25578,25362,648703
51107, VA,Loudoun,303661,61471,18666435
51109, VA,Louisa,32840,34879,1145422
51111, VA,Lunenburg,12887,25297,325996
51113, VA,Madison,13358,32107,428881
51115, VA,Mathews,8997,44973,404624
51117, VA,Mecklenburg,32815,28525,936052
51119, VA,Middlesex,10875,38492,418603
51125, VA,Nelson,15090,36027,543648
51127, VA,New Kent,18057,42734,771650
51131, VA,Northampton,12460,33891,422286
51133, VA,Northumberland,12379,36016,445847
51135, VA,Nottoway,15894,29525,469277
51137, VA,Orange,33329,36568,1218766
51139, VA,Page,24076,29532,711021
51141, VA,Patrick,18562,25729,477577
51145, VA,Powhatan,27983,38946,1089830
51147, VA,Prince Edward,23260,23784,553215
51155, VA,Pulaski,34988,29738,1040481
51157, VA,Rappahannock,7333,49401,362254
51159, VA,Richmond,9251,26499,245141
51167, VA,Russell,29012,28542,828071
51169, VA,Scott,23212,26178,607648
51171, VA,Shenandoah,41743,32630,1362077
51173, VA,Smyth,32283,27528,888697
51179, VA,Stafford,126449,45741,5783963
51181, VA,Surry,7037,34352,241734
51183, VA,Sussex,12175,26221,319242
51185, VA,Tazewell,45069,31293,1410332
51187, VA,Warren,37240,35811,1333599
51193, VA,Westmoreland,17448,32773,571815
51197, VA,Wythe,29216,29085,849757
51510, VA,Alexandria (Independent City),137523,72681,9995326
51550, VA,Chesapeake (Independent City),220176,41351,9104542
51650, VA,Hampton (Independent City),137833,35170,4847563
51700, VA,Newport News (Independent City),181000,34409,6228068
51710, VA,Norfolk (Independent City),241725,34237,8276010
51740, VA,Portsmouth (Independent City),95384,33669,3211464
51760, VA,Richmond (Independent City),203678,41724,8498269
51770, VA,Roanoke (Independent City),97023,35242,3419313
51800, VA,Suffolk (Independent City),83648,41473,3469166
51810, VA,Virginia Beach (Independent City),435004,43891,19092978
51901, VA*,Albemarle + Charlottesville,141125,48680,6869941
51903, VA*,Alleghany + Covington,22254,31199,694311
51907, Staunton + Waynesboro,Augusta,118593,35111,4163958
51911, VA*,Campbell + Lynchburg,129609,30954,4011905
51913, VA*,Carroll + Galax,36968,27990,1034737
51918, Colonial Heights + Petersburg,Dinwiddie,77581,33834,2624897
51919, Fairfax City + Falls Church,Fairfax,1099347,64104,70472656
51921, VA*,Frederick + Winchester,103513,37779,3910640
51923, VA*,Greensville + Emporia,18137,26112,473598
51929, VA*,Henry + Martinsville,68414,29240,2000434
51931, VA*,James City + Williamsburg,79805,51109,4078729
51933, VA*,Montgomery + Radford,110133,28281,3114684
51939, VA*,Pittsylvania + Danville,106882,28393,3034750
51941, VA*,Prince George + Hopewell,58283,31506,1836262
51942, Manassas + Manassas Park,Prince William,439288,46006,20209890
51944, VA*,Roanoke + Salem,116899,41687,4873181
51945, Buena Vista + Lexington,Rockbridge,35952,31388,1128452
51947, VA*,Rockingham + Harrisonburg,124144,29475,3659199
51949, VA*,Southampton + Franklin,27096,30633,830029
51951, VA*,Spotsylvania + Fredericksburg,144813,40857,5916576
51953, VA*,Washington + Bristol,72564,34660,2515045
51955, VA*,Wise + Norton,45357,28301,1283646
51958, VA*,York + Poquoson,77350,47015,3636579
53001, WA,Adams,18405,30356,558704
53003, WA,Asotin,21415,34958,748635
53005, WA,Benton,171122,38512,6590197
53007, WA,Chelan,71679,35422,2539007
53009, WA,Clallam,71077,34321,2439466
53011, WA,Clark,421236,37242,15687722
53013, WA,Columbia,3977,39362,156543
53015, WA,Cowlitz,102126,33472,3418353
53017, WA,Douglas,37935,29734,1127963
53019, WA,Ferry,7538,25986,195885
53021, WA,Franklin,74478,29966,2231791
53023, WA,Garfield,2237,35844,80182
53025, WA,Grant,87340,29759,2599155
53027, WA,Grays Harbor,72468,29794,2159123
53029, WA,Island,78248,39751,3110467
53031, WA,Jefferson,29714,38486,1143566
53033, WA,King,1912012,55569,106247964
53035, WA,Kitsap,248800,41527,10331817
53037, WA,Kittitas,40466,31547,1276567
53039, WA,Klickitat,20164,34979,705312
53041, WA,Lewis,75316,31640,2383011
53043, WA,Lincoln,10570,36029,380831
53045, WA,Mason,60333,32355,1952091
53047, WA,Okanogan,40699,29889,1216467
53049, WA,Pacific,21026,33287,699895
53051, WA,Pend Oreille,13043,30318,395441
53053, WA,Pierce,796483,37416,29801301
53055, WA,San Juan,15714,49848,783306
53057, WA,Skagit,116557,37804,4406279
53059, WA,Skamania,10955,32963,361107
53061, WA,Snohomish,706302,39657,28009888
53063, WA,Spokane,468235,34532,16169173
53065, WA,Stevens,43548,28784,1253504
53067, WA,Thurston,249936,39513,9875807
53069, WA,Wahkiakum,3995,30299,121043
53071, WA,Walla Walla,58103,34077,1979965
53073, WA,Whatcom,199865,35721,7139421
53075, WA,Whitman,44705,30271,1353266
53077, WA,Yakima,239604,30721,7360878
54001, WV,Barbour,16479,25891,426665
54003, WV,Berkeley,102830,32413,3333034
54005, WV,Boone,24766,29121,721206
54007, WV,Braxton,14512,24621,357294
54009, WV,Brooke,24153,29949,723370
54011, WV,Cabell,96040,33660,3232745
54013, WV,Calhoun,7560,23845,180271
54015, WV,Clay,9505,24858,236279
54017, WV,Doddridge,8124,15924,129369
54019, WV,Fayette,46034,26732,1230598
54021, WV,Gilmer,8529,19325,164822
54023, WV,Grant,11963,27731,331749
54025, WV,Greenbrier,35351,28736,1015855
54027, WV,Hampshire,23820,26015,619669
54029, WV,Hancock,30748,31488,968205
54031, WV,Hardy,13885,23934,332322
54033, WV,Harrison,68696,35546,2441880
54035, WV,Jackson,29155,29013,845871
54037, WV,Jefferson,53054,38275,2030666
54039, WV,Kanawha,193150,38462,7428939
54041, WV,Lewis,16422,28190,462938
54043, WV,Lincoln,21794,24155,526426
54045, WV,Logan,36645,30850,1130512
54047, WV,McDowell,22276,23130,515255
54049, WV,Marion,56426,33236,1875400
54051, WV,Marshall,33116,28487,943361
54053, WV,Mason,27309,27130,740903
54055, WV,Mercer,62177,31346,1949008
54057, WV,Mineral,28080,30324,851487
54059, WV,Mingo,26943,30390,818803
54061, WV,Monongalia,94165,34375,3236935
54063, WV,Monroe,13543,24010,325171
54065, WV,Morgan,17580,28219,496088
54067, WV,Nicholas,26253,29676,779077
54069, WV,Ohio,44355,42349,1878407
54071, WV,Pendleton,7701,29558,227625
54073, WV,Pleasants,7672,30650,235145
54075, WV,Pocahontas,8746,28013,244998
54077, WV,Preston,33333,26664,888807
54079, WV,Putnam,55178,36868,2034301
54081, WV,Raleigh,78782,30553,2407044
54083, WV,Randolph,29381,28616,840757
54085, WV,Ritchie,10478,24928,261199
54087, WV,Roane,14966,26421,395412
54089, WV,Summers,13882,23883,331547
54091, WV,Taylor,16838,27972,470993
54093, WV,Tucker,7172,27510,197302
54095, WV,Tyler,9249,25652,237252
54097, WV,Upshur,24124,27364,660121
54099, WV,Wayne,42637,25727,1096927
54101, WV,Webster,9167,24787,227224
54103, WV,Wetzel,16588,26334,436835
54105, WV,Wirt,5703,23696,135141
54107, WV,Wood,86841,32383,2812200
54109, WV,Wyoming,23899,25977,620822
55001, WI,Adams,20930,29136,609812
55003, WI,Ashland,16128,30234,487613
55005, WI,Barron,45876,34574,1586136
55007, WI,Bayfield,14981,35854,537136
55009, WI,Brown,246476,38990,9610191
55011, WI,Buffalo,13618,35611,484946
55013, WI,Burnett,15609,30140,470456
55015, WI,Calumet,48457,36608,1773904
55017, WI,Chippewa,61997,33352,2067739
55019, WI,Clark,34589,28028,969455
55021, WI,Columbia,56469,37273,2104779
55023, WI,Crawford,16692,28911,482583
55025, WI,Dane,484979,43692,21189464
55027, WI,Dodge,88677,34628,3070702
55029, WI,Door,27919,41920,1170371
55031, WI,Douglas,43998,31880,1402639
55033, WI,Dunn,43570,29468,1283901
55035, WI,Eau Claire,98274,36159,3553478
55037, WI,Florence,4494,34822,156489
55039, WI,Fond du Lac,101370,35896,3638727
55041, WI,Forest,9396,27557,258922
55043, WI,Grant,50916,31421,1599830
55045, WI,Green,36672,37974,1392578
55047, WI,Green Lake,19056,34939,665796
55049, WI,Iowa,23595,34513,814327
55051, WI,Iron,5966,34804,207638
55053, WI,Jackson,20372,34063,693934
55055, WI,Jefferson,83480,34623,2890359
55057, WI,Juneau,26728,29920,799705
55059, WI,Kenosha,165502,34771,5754596
55061, WI,Kewaunee,20555,33638,691425
55063, WI,La Crosse,114021,37343,4257906
55065, WI,Lafayette,16851,31930,538054
55067, WI,Langlade,20086,32413,651042
55069, WI,Lincoln,28833,36011,1038296
55071, WI,Manitowoc,81600,37762,3081387
55073, WI,Marathon,133793,37995,5083487
55075, WI,Marinette,41792,31921,1334048
55077, WI,Marquette,15405,29888,460431
55078, WI*,Menominee,4191,24426,102371
55079, WI,Milwaukee,942668,36939,34820772
55081, WI,Monroe,44437,30789,1368187
55083, WI,Oconto,37655,32996,1242478
55085, WI,Oneida,36175,36582,1323367
55087, WI,Outagamie,176175,37586,6621716
55089, WI,Ozaukee,86409,60840,5257162
55091, WI,Pepin,7480,34763,260029
55093, WI,Pierce,40613,33622,1365488
55095, WI,Polk,44376,32858,1458128
55097, WI,Portage,69876,31907,2229512
55099, WI,Price,14297,33985,485887
55101, WI,Racine,195130,37443,7306196
55103, WI,Richland,18112,29336,531332
55105, WI,Rock,160411,32842,5268293
55107, WI,Rusk,14841,27443,407278
55109, WI,St. Croix,84055,37894,3185189
55111, WI,Sauk,61562,34432,2119708
55113, WI,Sawyer,16559,34209,566465
55115, WI*,Shawano,41889,30412,1273910
55117, WI,Sheboygan,115562,38553,4455210
55119, WI,Taylor,20697,28887,597878
55121, WI,Trempealeau,28627,35012,1002282
55123, WI,Vernon,29659,30184,895224
55125, WI,Vilas,21524,35740,769257
55127, WI,Walworth,102077,34330,3504325
55129, WI,Washburn,15947,32863,524061
55131, WI,Washington,131579,42575,5601914
55133, WI,Waukesha,388957,53295,20729651
55135, WI,Waupaca,52392,35303,1849620
55137, WI,Waushara,24554,30909,758935
55139, WI,Winnebago,166429,35902,5975129
55141, WI,Wood,74627,37221,2777661
55901, WI,Shawano (includes Menominee),(NA),(NA),(NA)
56001, WY,Albany,35743,32314,1154988
56003, WY,Big Horn,11541,31039,358218
56005, WY,Campbell,45650,44073,2011910
56007, WY,Carbon,15977,36881,589253
56009, WY,Converse,13839,40455,559857
56011, WY,Crook,6965,35629,248156
56013, WY,Fremont,39685,34361,1363635
56015, WY,Goshen,12967,31596,409706
56017, WY,Hot Springs,4819,34287,165231
56019, WY,Johnson,8565,35423,303400
56021, WY,Laramie,90430,41486,3751603
56023, WY,Lincoln,18082,33527,606234
56025, WY,Natrona,75238,44992,3385109
56027, WY,Niobrara,2475,35504,87872
56029, WY,Park,28008,39072,1094332
56031, WY,Platte,8608,33936,292121
56033, WY,Sheridan,29017,55621,1613952
56035, WY,Sublette,10134,43989,445788
56037, WY,Sweetwater,44133,40761,1798921
56039, WY,Teton,21232,129161,2742356
56041, WY,Uinta,21054,39115,823533
56043, WY,Washakie,8423,36268,305482
56045, WY,Weston,7266,37070,269347
